18/08/2026 04:32,,,,
Código,Descrição,Início de Vigência,Fim de Vigência,Taxa de Conversão
005,AFEGANE/AFEGANIST.,18/08/2026,-,"0,0802200"
009,BIRR/ETIOPIA,18/08/2026,-,"0,0324800"
015,BATH,18/08/2026,-,"0,1576000"
020,BALBOA,18/08/2026,-,"5,2014000"
025,BOLIVAR,03/01/2008,03/01/2008,"0,0008259"
026,BOLIVAR FORTE/VEN,21/08/2018,21/08/2018,"0,0000159"
027,BOLIVAR SOBERANO VENEZUELANO,18/08/2026,-,"0,0067500"
030,BOLIVIANO/BOLIVIA,18/08/2026,-,"0,4511000"
035,CEDI,18/08/2026,-,"0,4729000"
040,COLON COSTARRIQUENHO,18/08/2026,-,"0,0116600"
045,COLON SALVADORENHO,18/08/2026,-,"0,5945000"
051,CORDOBA OURO,18/08/2026,-,"0,1421000"
055,COROA DINAM/DINAM,18/08/2026,-,"0,8064000"
057,COROA DA ESTONIA,18/01/2011,18/01/2011,"0,1437000"
058,COROA ESLOVACA,13/02/2009,15/02/2009,"0,0975880"
060,COROA ISLANDESA,18/08/2026,-,"0,0424400"
065,COROA NORUE/NORUE,18/08/2026,-,"0,5525000"
070,COROA SUECA/SUECI,18/08/2026,-,"0,5480000"
075,COROA TCHECA,18/08/2026,-,"0,2493000"
090,DALASI,18/08/2026,-,"0,0697700"
095,DINAR ARGELINO,18/08/2026,-,"0,0393200"
100,DINAR COVEITEANO,18/08/2026,-,"16,9427000"
105,DINAR DE BAHREIN,18/08/2026,-,"13,7968000"
115,DINAR/IRAQUE,18/08/2026,-,"0,0039720"
125,DINAR JORDANIANO,18/08/2026,-,"7,3466000"
130,DINAR LIBIO,18/08/2026,-,"0,8207000"
132,DINAR/MACEDONIA,18/08/2026,-,"0,0983800"
133,DINAR SERVIO/SERV,18/08/2026,-,"0,0514100"
134,DINAR/SUDAO,18/08/2026,-,"0,0086910"
135,DINAR TUNISIANO,18/08/2026,-,"1,7938000"
136,LIBRA SUL SUDANESA,18/08/2026,-,"0,0009460"
138,DIREITO ESPECIAL,18/08/2026,-,"7,1186000"
139,DIRHAM DE MARROCOS,18/08/2026,-,"0,5603000"
145,DIRHAM EMIR.ARABES,18/08/2026,-,"1,4163000"
148,DOBRA/S.TOME PRIN,28/11/2020,28/11/2020,"0,0002547"
149,DOBRA SÃO TOMÉ E PRÍNCIPE,18/08/2026,-,"0,2461000"
150,DOLAR AUSTRALIANO,18/08/2026,-,"3,6998000"
155,DOLAR/BAHAMAS,18/08/2026,-,"5,2014000"
160,DOLAR/BERMUDAS,18/08/2026,-,"5,2014000"
165,DOLAR CANADENSE,18/08/2026,-,"3,7506000"
170,DOLAR DA GUIANA,18/08/2026,-,"0,0250100"
173,DÓLAR DA NAMÍBIA,18/08/2026,-,"0,3217000"
175,DOLAR DE BARBADOS,18/08/2026,-,"2,6032000"
180,DOLAR/BELIZE,18/08/2026,-,"2,6004000"
185,DOLAR BRUNEI,18/08/2026,-,"4,0751000"
190,DOLAR/CAYMAN,18/08/2026,-,"6,2857000"
195,DOLAR DE CINGAPURA,18/08/2026,-,"4,0751000"
197,UNIDADE DE FOMENTO DO CHILE,18/08/2026,-,"232,4402000"
200,DOLAR/FIJI,18/08/2026,-,"2,3890000"
205,DOLAR DE HONG-KONG,18/08/2026,-,"0,6631000"
210,DOLAR DE TRINIDADE,18/08/2026,-,"0,7721000"
215,DOLAR DO CARIBE O,18/08/2026,-,"1,9336000"
220,DOLAR DOS EUA,18/08/2026,-,"5,2014000"
230,DOLAR JAMAICANO,18/08/2026,-,"0,0331100"
235,DOLAR/LIBERIA,18/08/2026,-,"0,0289000"
245,DOLAR/NOVA ZELAND,18/08/2026,-,"3,0740000"
250,DOLAR IL SALOMAO,18/08/2026,-,"0,6679000"
255,DOLAR/SURINAME,18/08/2026,-,"0,1386000"
260,DONGUE/VIETNAN,18/08/2026,-,"0,0001985"
270,DRACMA/GRECIA,03/01/2002,03/01/2002,"0,0060476"
275,DRAM/ARMENIA REP,18/08/2026,-,"0,0142700"
295,ESCUDO CABO VERDE,18/08/2026,-,"0,0546700"
315,ESCUDO PORTUGUES,03/01/2002,03/01/2002,"0,0102930"
325,FLORIM/ANT. HOLAN,01/07/2025,-,"3,0581000"
328,FLORIM/ARUBA,18/08/2026,-,"2,9221000"
330,FLORIM/SURINAME,08/09/2005,08/09/2005,"0,0008502"
335,FLORIM HOLANDES,03/01/2002,03/01/2002,"0,9364380"
345,FORINT,18/08/2026,-,"0,0166100"
360,FRANCO BELGA/BELG,03/01/2002,03/01/2002,"0,0511560"
363,FRANCO CONGOLES,18/08/2026,-,"0,0022760"
365,FRANCO DE BURUNDI,18/08/2026,-,"0,0017500"
368,FRANCO/COMORES,18/08/2026,-,"0,0122600"
370,FRANCO/COM.FIN.AF,18/08/2026,-,"0,0091890"
372,FRANCO/CFA OESTE,18/08/2026,-,"0,0092630"
380,FRANCO COL FRANC,18/08/2026,-,"0,0506700"
390,FRANCO/DJIBUTI,18/08/2026,-,"0,0292900"
395,FRANCO FRANCES,03/01/2002,03/01/2002,"0,3145990"
398,FRANCO GUINÉ,18/08/2026,-,"0,0005932"
400,FRANCO/LUXEMBURGO,03/01/2002,03/01/2002,"0,0511560"
405,FR.MALGAXE/MADAGA,02/06/2005,02/06/2005,"0,0002632"
406,ARIARY MADAGASCAR,18/08/2026,-,"0,0012070"
420,FRANCO DE RUANDA,18/08/2026,-,"0,0035520"
425,FRANCO SUICO,18/08/2026,-,"6,4254000"
440,GOURDE,18/08/2026,-,"0,0399600"
450,GUARANI,18/08/2026,-,"0,0008638"
460,HRYVNIA UCRANIA,18/08/2026,-,"0,1161000"
470,IENE,18/08/2026,-,"0,0326400"
482,LARI GEORGIA,18/08/2026,-,"2,0176000"
485,LAT,03/01/2014,05/01/2014,"4,6132000"
490,LEK ALBANIA REP,18/08/2026,-,"0,0651200"
495,LEMPIRA,18/08/2026,-,"0,1943000"
500,LEONE,18/08/2026,-,"0,0002293"
503,"LEU/MOLDAVIA, REP",18/08/2026,-,"0,3051000"
505,LEU/ROMENIA,28/01/2008,28/01/2008,"0,0000701"
506,NOVO LEU/ROMENIA,18/08/2026,-,"1,1506000"
510,"LEV/BULGARIA, REP",01/01/2026,-,"3,3073000"
520,LIBRA CIP/CHIPRE,13/02/2009,15/02/2009,"5,0216500"
530,LIBRA/GIBRALTAR,18/08/2026,-,"7,0531000"
535,LIBRA EGIPCIA,18/08/2026,-,"0,1037000"
540,LIBRA ESTERLINA,18/08/2026,-,"7,0552000"
545,LIBRA/FALKLAND,18/08/2026,-,"7,0531000"
550,LIBRA/IRLANDA,03/01/2002,03/01/2002,"2,6202700"
560,LIBRA LIBANESA,18/08/2026,-,"0,0000581"
565,LIRA/MALTA,22/01/2008,22/01/2008,"2,6109200"
570,LIBRA/STA HELENA,18/08/2026,-,"7,0443000"
575,LIBRA SIRIA,18/08/2026,-,"0,0428000"
585,LILANGENI/SUAZIL,18/08/2026,-,"0,3217000"
595,LIRA ITALIANA,03/01/2002,03/01/2002,"0,0010657"
600,LIRA/TURQUIA,03/05/2001,03/05/2001,"0,0000024"
601,LITA,06/01/2015,06/01/2015,"0,9437000"
603,LOTI/LESOTO,18/08/2026,-,"0,3217000"
